PRACTICE_CODE,TOTAL,16OV,17OV,18OV,30_74,50OV,0_64,65OV,65OV%
A88002,17361,14452,14255,14085,10159,6913,14176,3185,0.183457174
A88003,13779,11411,11260,11119,7714,5962,10696,3083,0.223746281
A88004,9351,7684,7576,7476,5504,3698,7662,1689,0.180622393
A88005,4474,3681,3625,3578,2649,1832,3632,842,0.18819848
A88006,7980,6615,6543,6477,4673,3491,6326,1654,0.20726817
A88007,7952,6964,6895,6826,5018,3378,6371,1581,0.198817907
A88008,6511,5599,5533,5466,3896,2655,5204,1307,0.200737214
A88009,6577,5533,5459,5390,3860,2915,5152,1425,0.216664133
A88010,3052,2613,2579,2545,1795,1509,2245,807,0.264416776
A88012,6521,5382,5306,5240,3817,2678,5267,1254,0.192301794
A88013,20201,16263,16049,15861,11403,7460,16695,3506,0.173555765
A88014,2775,2366,2338,2318,1627,867,2402,373,0.134414414
A88015,6615,5517,5450,5383,3926,2677,5375,1240,0.187452759
A88016,7985,6502,6405,6315,4598,3436,6232,1753,0.219536631
A88022,10376,8253,8133,8033,5903,3758,8739,1637,0.157767926
A88023,5140,4313,4260,4217,3036,2465,3873,1267,0.246498054
A88025,4990,4173,4122,4064,2934,2239,3903,1087,0.217835671
A88601,3509,3034,3016,2999,2177,1583,2718,791,0.225420348
A88608,5807,4927,4864,4824,3478,2515,4644,1163,0.20027553
A88613,4078,3379,3340,3309,2350,1709,3201,877,0.2150564
A89001,13513,11085,10958,10809,7764,5405,11009,2504,0.185303042
A89002,6094,5273,5213,5156,3459,2154,5158,936,0.153593699
A89004,11397,9508,9398,9287,6417,5012,8723,2674,0.234623146
A89005,5593,4732,4687,4620,3336,2638,4252,1341,0.239763991
A89006,7593,6280,6203,6112,4015,2527,6436,1157,0.15237719
A89007,10330,8658,8561,8466,5830,3995,8341,1989,0.192545983
A89008,5097,4182,4129,4071,2862,2003,4217,880,0.172650579
A89009,8763,7216,7125,7023,5031,3509,7150,1613,0.184069383
A89010,12464,10438,10307,10199,7248,5600,9630,2834,0.22737484
A89011,4320,3547,3491,3444,2455,1771,3488,832,0.192592593
A89012,10735,8681,8551,8443,6514,3998,8609,2126,0.198043782
A89013,5064,4524,4492,4451,2919,2378,3804,1260,0.248815166
A89015,9408,8081,7989,7886,5601,4715,6973,2435,0.258822279
A89016,8676,7524,7468,7393,5027,3559,6933,1743,0.200899032
A89017,13732,11460,11322,11178,7901,5274,11346,2386,0.173754733
A89018,5032,4268,4216,4174,2967,2081,4028,1004,0.199523052
A89019,10645,8736,8617,8503,6061,4380,8474,2171,0.203945514
A89020,9585,8092,8006,7911,5702,3585,7989,1596,0.166510172
A89021,8366,6906,6795,6710,4768,3516,6671,1695,0.202605785
A89022,5277,4455,4388,4317,3173,2317,4028,1249,0.236687512
A89023,7930,6579,6499,6415,4614,3462,6209,1721,0.21702396
A89024,5828,4851,4793,4733,3331,2495,4538,1290,0.22134523
A89025,12748,9979,9822,9664,7204,4134,10902,1846,0.144807029
A89026,7708,6421,6332,6258,4540,3284,6095,1613,0.209263103
A89027,6373,5073,5004,4942,3579,2409,5360,1013,0.158951828
A89028,7153,5900,5828,5737,4163,2973,5672,1481,0.207045995
A89030,6283,5180,5124,5054,3688,2628,4922,1361,0.216616266
A89031,5065,4269,4211,4166,2776,1692,4325,740,0.146100691
A89032,10320,8667,8545,8438,6044,4520,8145,2175,0.210755814
A89034,3943,3470,3433,3397,2450,1312,3471,472,0.119705808
A89035,8336,6839,6741,6669,4746,3440,6645,1691,0.202855086
A89036,2302,1935,1910,1889,1373,983,1869,433,0.188097307
A89040,4675,4120,4084,4051,2750,2149,3578,1097,0.234652406
A89041,6600,5203,5140,5081,3715,2226,5644,956,0.144848485
A89604,4395,3452,3402,3360,2396,1499,3802,593,0.134926052
A89614,4054,3291,3246,3200,2320,1518,3357,697,0.171928959
A89616,2293,1871,1856,1821,1388,940,1865,428,0.186655037
A89617,4049,3453,3415,3369,2431,1865,3158,891,0.220054334
A89623,2664,2243,2224,2197,1555,984,2172,492,0.184684685
B81002,3244,2551,2505,2458,1732,1090,2736,508,0.156596794
B81003,12119,10138,10017,9899,6858,5797,8882,3237,0.267101246
B81004,12608,10942,10799,10674,7637,7046,8437,4171,0.330821701
B81005,17033,14245,14075,13915,10112,7880,13041,3992,0.234368579
B81006,8387,7264,7187,7129,4787,4872,5362,3025,0.360677239
B81007,9739,8249,8138,8023,5794,4886,7167,2572,0.264092823
B81008,30474,24400,24065,23769,16987,11117,25367,5107,0.167585483
B81009,9473,7813,7697,7607,5610,4153,7330,2143,0.226221894
B81010,12491,10484,10344,10211,7133,5700,9417,3074,0.24609719
B81011,9742,7802,7683,7594,5369,3603,8086,1656,0.169985629
B81012,3488,2910,2879,2832,1992,1483,2796,692,0.198394495
B81013,8706,7061,6986,6906,4902,3046,7303,1403,0.161153228
